reef,collection_date,Year,Month,Lat_decimal,Long_decimal,avgchla_mgm-3,sdchla_mgm-3,avgSST_degC,sdSST_degC
pr,14-Nov-18,2018,November,24.985,-80.416,0.996512393,0.653525823,27.42547727,0.130198866
gr,15-Nov-18,2018,November,25.11,-80.304,0.731803379,0.460739324,27.50922211,0.108954965
ndr,20-Nov-18,2018,November,25.218,-80.294,1.27560545,0,26.69535238,0.683411288
cf,26-Nov-18,2018,November,25.221,-80.21,1.129989076,0.630560863,26.61858678,0.155447232
cf,28-Feb-19,2019,February ,25.221,-80.21,0.696025807,0.453908602,25.96821074,0.151485799
pr,1-Mar-19,2019,March,24.985,-80.416,0.39995314,0.163012005,25.99442252,0.248382455
ndr,4-Mar-19,2019,March,25.218,-80.294,2.700257501,0.888385803,26.45430714,0.420880772
gr,5-Mar-19,2019,March,25.11,-80.304,0.748135997,0.500888352,26.43473657,0.39340698
cf,25-Jun-19,2019,June,25.221,-80.21,1.792091669,0.376354381,29.63623347,0.50810265
ndr,26-Jun-19,2019,June,25.218,-80.294,3.090697605,1.606486547,30.03815238,0.361411607
gr,1-Jul-19,2019,July,25.11,-80.304,1.582868711,0.413590078,29.63319938,0.783106716
pr,2-Jul-19,2019,July,24.985,-80.416,1.507777124,0.964905694,29.49291322,0.704735448
cf,25-Sep-19,2019,September,25.221,-80.21,1.193063102,0,29.41867975,0.428518709
ndr,25-Sep-19,2019,September,25.218,-80.294,1.997572561,0,29.0513381,0.673911137
gr,26-Sep-19,2019,September,25.11,-80.304,1.969735052,0.698329369,29.03176963,0.383409275
pr,26-Sep-19,2019,September,24.985,-80.416,0.838890013,0.313347159,29.12767665,0.509866187
gr,18-Nov-19,2019,November,25.11,-80.304,1.071301873,0.073935154,27.46379959,0.26273851
pr,18-Nov-19,2019,November,24.985,-80.416,0.518854953,0.241585298,27.43930579,0.421254625
cf,19-Nov-19,2019,November,25.221,-80.21,0.98994618,0.150965477,27.62378409,0.201932594
ndr,19-Nov-19,2019,November,25.218,-80.294,3.242377305,1.739746769,27.19707857,0.385620202