date,decimal_year,avg_chl,reef
29-Jan-19,2019.079235,0.710106336,cf
6-Feb-19,2019.101093,1.16613196,cf
14-Feb-19,2019.122951,0.202686808,cf
22-Feb-19,2019.144809,0.644502729,cf
2-Mar-19,2019.166667,1.210409501,cf
10-Mar-19,2019.188525,1.157497365,cf
18-Mar-19,2019.210383,0.105627134,cf
26-Mar-19,2019.23224,0.715946887,cf
3-Apr-19,2019.254098,0.752571912,cf
11-Apr-19,2019.275956,0.730869174,cf
19-Apr-19,2019.297814,1.14916427,cf
27-Apr-19,2019.319672,1.46908173,cf
5-May-19,2019.34153,0.221741479,cf
13-May-19,2019.363388,0.798103767,cf
21-May-19,2019.385246,1.336721026,cf
29-May-19,2019.407104,0.292467612,cf
6-Jun-19,2019.428962,1.710474593,cf
14-Jun-19,2019.45082,1.388268553,cf
22-Jun-19,2019.472678,1.10719552,cf
30-Jun-19,2019.494536,0.573327893,cf
8-Jul-19,2019.516393,0.143546045,cf
16-Jul-19,2019.538251,1.243161736,cf
24-Jul-19,2019.560109,1.45747672,cf
1-Aug-19,2019.581967,1.427149284,cf
9-Aug-19,2019.603825,1.08348025,cf
17-Aug-19,2019.625683,1.623650468,cf
25-Aug-19,2019.647541,0.138745397,cf
2-Sep-19,2019.669399,0.254409318,cf
10-Sep-19,2019.691257,NaN,cf
18-Sep-19,2019.713115,0.553257917,cf
26-Sep-19,2019.734973,1.179869056,cf
4-Oct-19,2019.756831,0.150596932,cf
12-Oct-19,2019.778689,1.15791795,cf
20-Oct-19,2019.800546,1.287262148,cf
28-Oct-19,2019.822404,2.099903805,cf
5-Nov-19,2019.844262,0.9454929,cf
13-Nov-19,2019.86612,0.895149542,cf
21-Nov-19,2019.887978,0.681875203,cf
29-Nov-19,2019.909836,1.160314017,cf
7-Dec-19,2019.931694,1.178672809,cf
15-Dec-19,2019.953552,0.682294778,cf
23-Dec-19,2019.97541,1.078185015,cf
31-Dec-19,2019.997268,NaN,cf
29-Jan-19,2019.079235,0.437813317,ndr
6-Feb-19,2019.101093,1.508325888,ndr
14-Feb-19,2019.122951,0.303679908,ndr
22-Feb-19,2019.144809,0.327600914,ndr
2-Mar-19,2019.166667,1.555254098,ndr
10-Mar-19,2019.188525,1.424626943,ndr
18-Mar-19,2019.210383,0.135273382,ndr
26-Mar-19,2019.23224,0.623739287,ndr
3-Apr-19,2019.254098,0.255657881,ndr
11-Apr-19,2019.275956,0.606012283,ndr
19-Apr-19,2019.297814,1.156709873,ndr
27-Apr-19,2019.319672,0.93176264,ndr
5-May-19,2019.34153,NaN,ndr
13-May-19,2019.363388,0.623415607,ndr
21-May-19,2019.385246,0.950361348,ndr
29-May-19,2019.407104,0.224143308,ndr
6-Jun-19,2019.428962,1.245382526,ndr
14-Jun-19,2019.45082,1.567445808,ndr
22-Jun-19,2019.472678,0.297699766,ndr
30-Jun-19,2019.494536,0.979368159,ndr
8-Jul-19,2019.516393,2.149956226,ndr
16-Jul-19,2019.538251,2.016611508,ndr
24-Jul-19,2019.560109,1.071356123,ndr
1-Aug-19,2019.581967,1.915497926,ndr
9-Aug-19,2019.603825,1.836954127,ndr
17-Aug-19,2019.625683,2.509254499,ndr
25-Aug-19,2019.647541,NaN,ndr
2-Sep-19,2019.669399,0.21608717,ndr
10-Sep-19,2019.691257,1.999898434,ndr
18-Sep-19,2019.713115,1.689828399,ndr
26-Sep-19,2019.734973,1.600117826,ndr
4-Oct-19,2019.756831,NaN,ndr
12-Oct-19,2019.778689,0.859896119,ndr
20-Oct-19,2019.800546,1.864353104,ndr
28-Oct-19,2019.822404,2.071089798,ndr
5-Nov-19,2019.844262,1.153299153,ndr
13-Nov-19,2019.86612,1.40635105,ndr
21-Nov-19,2019.887978,1.247144795,ndr
29-Nov-19,2019.909836,1.547147956,ndr
7-Dec-19,2019.931694,1.648452408,ndr
15-Dec-19,2019.953552,0.803631365,ndr
23-Dec-19,2019.97541,1.905291557,ndr
31-Dec-19,2019.997268,NaN,ndr
29-Jan-19,2019.079235,0.389034953,pr
6-Feb-19,2019.101093,0.581662173,pr
14-Feb-19,2019.122951,0.270616852,pr
22-Feb-19,2019.144809,0.193583582,pr
2-Mar-19,2019.166667,0.559715622,pr
10-Mar-19,2019.188525,0.487271347,pr
18-Mar-19,2019.210383,0.097719299,pr
26-Mar-19,2019.23224,0.567534228,pr
3-Apr-19,2019.254098,0.587816532,pr
11-Apr-19,2019.275956,0.861782568,pr
19-Apr-19,2019.297814,0.657231746,pr
27-Apr-19,2019.319672,0.717675818,pr
5-May-19,2019.34153,0.247053857,pr
13-May-19,2019.363388,0.769641933,pr
21-May-19,2019.385246,0.927771025,pr
29-May-19,2019.407104,0.182145982,pr
6-Jun-19,2019.428962,0.657641426,pr
14-Jun-19,2019.45082,0.961438094,pr
22-Jun-19,2019.472678,0.496375635,pr
30-Jun-19,2019.494536,0.260608088,pr
8-Jul-19,2019.516393,0.515654136,pr
16-Jul-19,2019.538251,0.431224348,pr
24-Jul-19,2019.560109,0.557118047,pr
1-Aug-19,2019.581967,0.697095652,pr
9-Aug-19,2019.603825,0.634887446,pr
17-Aug-19,2019.625683,1.051637115,pr
25-Aug-19,2019.647541,0.130011076,pr
2-Sep-19,2019.669399,0.212633751,pr
10-Sep-19,2019.691257,2.202425582,pr
18-Sep-19,2019.713115,0.753745471,pr
26-Sep-19,2019.734973,0.805850418,pr
4-Oct-19,2019.756831,0.119741827,pr
12-Oct-19,2019.778689,0.256276283,pr
20-Oct-19,2019.800546,0.26367099,pr
28-Oct-19,2019.822404,0.107232604,pr
5-Nov-19,2019.844262,0.218721695,pr
13-Nov-19,2019.86612,0.648848158,pr
21-Nov-19,2019.887978,0.516198032,pr
29-Nov-19,2019.909836,0.771499869,pr
7-Dec-19,2019.931694,0.643886957,pr
15-Dec-19,2019.953552,0.450306957,pr
23-Dec-19,2019.97541,NaN,pr
31-Dec-19,2019.997268,NaN,pr