reef,Date,Lat_decimal,Long_decimal,avg_chla_8day_(mg m-3),sd_chla_8day_(mg m-3),avg_chla_monthly_(mg m-3),sd_chla_monthly_(mg m-3),avg SST (deg C),sd SST (deg C)
cf,26-Nov-18,25.221,-80.21,1.129989076,0.630560863,1.481547094,0.831021978,26.61858678,0.155447232
cf,28-Feb-19,25.221,-80.21,0.696025807,0.453908602,1.249507474,0.848662923,25.96821074,0.151485799
cf,25-Jun-19,25.221,-80.21,1.792091669,0.376354381,1.84,1.026140717,29.63623347,0.50810265
cf,25-Sep-19,25.221,-80.21,1.193063102,0,1.393782222,0.862870536,29.41867975,0.428518709
cf,18-Nov-19,25.221,-80.21,0.98994618,0.150965477,1.314621556,0.899163172,27.62378409,0.201932594
gr,15-Nov-18,25.11,-80.304,0.731803379,0.460739324,1.299314896,0.788071654,27.50922211,0.108954965
gr,5-Mar-19,25.11,-80.304,0.748135997,0.500888352,1.131239379,0.82697465,26.43473657,0.39340698
gr,1-Jul-19,25.11,-80.304,1.582868711,0.413590078,1.53,1.007537964,29.63319938,0.783106716
gr,26-Sep-19,25.11,-80.304,1.969735052,0.698329369,1.658433619,1.033290244,29.03176963,0.383409275
gr,18-Nov-19,25.11,-80.304,1.071301873,0.073935154,1.159215081,0.792103452,27.46379959,0.26273851
ndr,20-Nov-18,25.218,-80.294,1.27560545,0,5.55782787,4.407289024,26.69535238,0.683411288
ndr,4-Mar-19,25.218,-80.294,2.700257501,0.888385803,3.527486867,1.825579126,26.45430714,0.420880772
ndr,26-Jun-19,25.218,-80.294,3.090697605,1.606486547,6.32,3.027165531,30.03815238,0.361411607
ndr,25-Sep-19,25.218,-80.294,1.997572561,0,6.25945323,5.195793063,29.0513381,0.673911137
ndr,19-Nov-19,25.218,-80.294,3.242377305,1.739746769,5.254343576,4.293715945,27.19707857,0.385620202
pr,14-Nov-18,24.985,-80.416,0.996512393,0.653525823,0.709496435,0.629417009,27.42547727,0.130198866
pr,1-Mar-19,24.985,-80.416,0.39995314,0.163012005,0.617728644,0.709535364,25.99442252,0.248382455
pr,2-Jul-19,24.985,-80.416,1.507777124,0.964905694,0.78,0.888555684,29.49291322,0.704735448
pr,26-Sep-19,24.985,-80.416,0.838890013,0.313347159,0.875418658,0.864681811,29.12767665,0.509866187
pr,18-Nov-19,24.985,-80.416,0.518854953,0.241585298,0.658153494,0.685131789,27.43930579,0.421254625